85 57 70 52 87 91 80 97 91 48 74 92 74 68 67 69 78 
84 75 89 62 72 100 92 69 68 96 92 76 64 96 47 37 7 
65 64 60 13 29 45 83 80 77 60 51 72 86 61 64 73 70 
74 93 76 84 60 80 53 51 19 46 60 65 75 75 74 87 20 
7 15 17 34 19 35 16 8 9 35 58 31 21 12 2 40 30 
33 34 48 17 36 15 27 64 72 45 72 46 22 49 30 94 55 
34 18 39 59 44 46 62 22 27 17 96 30 75 16 73 60 4 
84 31 61 50 34 39 53 46 43 72 40 8 33 37 19 12 50 
62 70 97 27 7 96 24 42 99 38 37 20 91 64 49 6 28 
94 15 82 72 51 22 69 59 93 67 39 85 72 36 57 4 63 
6 15 41 59 17 49 75 66 36 38 22 38 93 53 90 45 74 
23 54 6 67 68 44 66 61 84 34 41 81 14 27 40 73 54 
50 65 37 79 48 10 42 25 14 24 35 70 89 55 48 0 15 
15 13 14 20 31 20 28 41 25 43 53 15 40 52 26 41 44 
86 55 81 78 91 52 52 52 84 46 60 64 99 65 90 80 86 
68 45 11 0 23 8 24 8 19 52 18 40 16 9 63 55 98 
35 3 11 45 34 60 51 0 23 8 7 13 44 6 31 47 32 
61 72 89 43 39 46 57 26 85 21 96 77 59 57 71 64 75 
83 70 84 98 65 60 61 48 64 32 48 46 75 59 50 91 28 
49 55 50 42 44 52 29 78 21 49 84 61 31 59 12 10 19 
64 88 77 82 70 76 59 84 53 80 44 48 83 45 74 51 94 
73 94 67 71 93 35 97 89 96 38 88 64 39 30 95 42 14 
62 90 70 55 27 86 70 41 62 70 66 74 94 79 74 93 15 
26 59 57 58 3 47 15 26 32 76 13 63 75 82 42 15 81 
12 72 92 40 81 58 94 24 24 95 65 31 25 48 62 40 20 
99 84 78 70 96 93 92 48 86 79 47 33 80 72 53 57 88 
66 67 87 31 55 92 52 29 41 38 23 42 48 44 73 57 57 
81 25 15 35 68 56 52 34 44 54 35 79 5 73 36 94 93 
99 64 65 56 87 35 94 57 31 14 38 46 53 66 76 40 5 
26 51 80 56 18 78 71 29 42 44 79 38 78 43 47 7 8 
